brand,accidents,Average per Brand
Acura,1,0.10714285714285714
Audi,1,0.12048192771084337
Audi,2,0.024096385542168676
BMW,1,0.11475409836065574
BMW,2,0.02459016393442623
Cadillac,1,0.06666666666666667
Chevrolet,1,0.22962962962962963
Chevrolet,2,0.014814814814814815
Chevrolet,3,0.007407407407407408
Dodge,1,0.2222222222222222
Dodge,2,0.037037037037037035
Ford,1,0.09944751381215469
Ford,2,0.016574585635359115
GMC,1,0.4444444444444444
Honda,1,0.17391304347826086
Honda,2,0.012422360248447204
Hyundai,1,0.1282051282051282
Hyundai,2,0.05128205128205128
INFINITI,1,0.14285714285714285
Jaguar,1,0.16666666666666666
Jeep,1,0.1951219512195122
Jeep,2,0.024390243902439025
Jeep,3,0.012195121951219513
Kia,1,0.08247422680412371
Kia,2,0.05154639175257732
Land,1,0.07142857142857142
Lexus,1,0.14583333333333334
Lexus,2,0.041666666666666664
Lexus,3,0.020833333333333332
MINI,1,0.2
Maserati,2,0.2
Mazda,1,0.17857142857142858
Mazda,2,0.03571428571428571
Mercedes-Benz,1,0.13821138211382114
Mercedes-Benz,2,0.012195121951219513
Mitsubishi,1,0.2
Nissan,1,0.07368421052631578
Nissan,2,0.031578947368421054
Porsche,1,0.058823529411764705
Ram,1,0.16666666666666666
Subaru,1,0.057692307692307696
Subaru,2,0.019230769230769232
Subaru,3,0.009615384615384616
Toyota,1,0.16225165562913907
Toyota,2,0.019867549668874173
Toyota,3,0.006622516556291391
Volkswagen,1,0.203125
Volkswagen,2,0.015625
